openai_rating,true_rating,original_dataset_row_number
2,1,265
1,1,500
2,1,486
2,1,204
1,1,457
1,1,599
2,1,138
4,3,1210
3,3,1212
1,1,926
1,1,679
3,2,1059
2,1,181
3,1,746
1,1,758
5,5,1407
2,1,380
2,3,1259
5,4,1305
2,3,1186
1,1,23
1,1,919
4,4,1319
1,1,980
4,4,1318
4,3,1266
1,1,337
1,1,163
2,2,1051
3,1,668
1,1,439
2,1,159
1,1,375
1,1,274
2,1,450
2,1,358
1,1,346
2,1,259
1,1,739
5,3,1241
1,1,193
4,5,1386
2,1,688
5,5,1373
3,2,1056
4,4,1302
2,1,53
1,1,288
5,4,1306
1,1,234
2,1,977
2,1,639
2,1,886
1,1,389
2,2,1095
2,1,641
2,1,276
1,1,667
3,3,1145
2,1,263
2,1,246
1,1,857
1,1,538
3,3,1243
1,1,895
1,1,592
2,2,1129
4,4,1328
5,5,1362
1,1,114
1,1,428
1,1,862
1,1,212
1,1,705
2,2,1046
1,1,109
2,1,472
3,2,1068
1,1,772
1,1,386
1,1,22
1,1,205
2,3,1153
4,3,1143
1,1,437
2,2,1012
5,5,1396
1,1,343
1,1,93
5,5,1404
1,1,847
4,5,1367
4,4,1308
1,1,867
1,1,760
3,1,490
1,1,687
2,1,211
1,1,597
2,1,446
1,1,849
1,1,405
2,2,1075
2,1,374
2,2,1022
2,2,1108
1,1,880
2,2,1083
1,1,277
2,1,690
1,1,960
4,3,1248
1,1,986
3,3,1177
3,3,1269
2,1,712
1,1,664
2,1,836
1,1,51
1,1,142
1,1,910
2,1,201
2,1,762
2,1,559
1,1,556
1,1,674
3,3,1192
4,4,1283
1,1,852
1,1,494
2,1,92
2,1,511
1,1,783
2,1,535
2,1,934
3,2,1072
2,1,676
1,1,875
2,2,1049
4,4,1346
2,1,365
1,1,528
1,1,985
2,1,658
2,2,1031
4,3,1229
1,1,387
1,1,396
4,4,1324
1,1,613
2,1,693
2,1,733
1,1,321
1,1,914
1,1,565
2,2,1067
2,1,481
2,1,491
1,1,44
1,1,946
1,2,1084
3,1,681
1,1,737
1,3,1194
1,1,594
1,1,403
1,1,779
2,1,215
2,2,1038
1,1,741
2,2,1103
2,1,941
1,1,574
3,3,1197
2,1,408
2,1,468
1,1,371
2,1,956
2,1,630
3,2,1023
1,1,542
1,1,65
1,1,771
1,1,824
2,1,780
5,5,1380
1,1,916
1,1,534
2,1,949
1,1,752
1,1,864
1,1,47
1,1,34
3,3,1247
1,1,583
2,3,1202
2,1,132
4,3,1249
3,3,1168
2,1,915
1,1,756
1,1,322
2,2,1131
2,1,568
1,1,870
3,3,1166
4,5,1353
2,3,1205
1,1,146
1,1,707
1,1,942
1,1,652
2,1,860
5,5,1376
1,1,804
2,2,1082
1,1,107
1,1,224
1,1,381
2,1,214
1,1,258
2,1,328
1,1,831
1,1,759
4,3,1184
2,1,593
3,4,1307
1,1,610
2,1,309
1,1,443
3,1,987
4,5,1390
1,1,738
2,2,1069
1,1,692
4,1,522
2,1,348
1,1,444
1,1,645
2,1,1
2,3,1215
1,1,306
1,1,525
1,1,385
2,1,497
1,1,202
1,1,312
4,4,1304
1,1,369
5,5,1357
4,3,1246
1,1,106
1,1,136
2,1,683
1,1,307
5,5,1393
