openai_rating,true_rating,original_dataset_row_number
3,4,218
2,1,122
2,3,178
4,5,420
1,1,232
3,2,275
5,4,404
4,5,300
4,4,527
3,3,667
3,3,335
4,2,342
4,3,950
3,2,242
2,2,483
4,4,906
4,4,717
5,5,594
5,5,467
2,2,469
2,1,908
5,4,286
5,5,429
4,4,539
2,2,604
3,4,730
1,1,175
5,4,212
5,5,947
2,2,834
3,3,301
2,2,287
3,3,931
5,5,264
2,2,360
2,2,857
3,2,121
1,1,497
4,4,756
4,4,77
5,5,863
5,5,53
3,3,664
1,1,9
5,5,271
3,4,714
3,2,13
4,1,796
4,4,692
2,2,290
4,5,676
3,3,277
4,3,230
2,2,584
1,1,422
4,4,897
1,1,38
5,4,623
2,1,102
1,2,613
4,4,39
2,1,561
5,5,735
1,1,549
5,5,631
4,4,139
2,1,657
4,5,93
1,1,723
3,4,988
5,5,307
1,1,141
2,2,213
5,3,696
4,4,817
2,1,52
5,5,481
4,5,648
4,3,760
2,1,130
1,2,282
2,2,968
4,4,251
1,1,176
3,3,921
5,5,976
1,2,963
4,4,784
1,1,942
4,3,598
3,3,505
3,3,501
5,5,704
5,5,893
4,5,773
1,2,485
4,4,295
5,5,734
5,4,716
5,5,17
5,5,266
3,3,434
5,5,323
1,1,137
4,5,748
4,4,452
2,2,972
3,3,365
3,3,840
4,4,881
1,1,823
2,2,702
2,2,260
5,5,870
3,2,876
5,4,353
4,4,330
3,1,581
1,2,399
3,3,489
5,1,941
3,2,977
2,1,470
2,1,879
4,5,203
5,5,528
3,3,188
4,4,7
1,1,959
4,4,655
4,4,835
5,5,832
3,3,208
5,5,138
3,3,326
2,2,846
4,4,912
2,3,385
3,3,524
3,3,611
5,5,63
4,5,387
1,1,627
5,5,289
5,5,877
5,5,518
1,1,392
3,4,2
4,4,372
4,3,526
1,2,640
1,1,837
2,2,288
2,3,554
4,4,433
2,2,715
1,1,871
5,4,262
1,1,752
2,2,108
3,2,545
2,1,685
4,3,394
4,4,869
3,3,589
2,2,223
