openai_rating,true_rating,original_dataset_row_number
9,5,776
5,2,274
2,1,823
9,4,924
9,5,416
9,5,432
6,2,977
8,5,905
7,3,585
3,2,597
9,5,203
9,5,506
9,5,899
2,1,750
9,5,460
10,5,380
8,3,794
6,2,833
4,2,154
9,5,769
8,3,131
9,5,3
5,2,545
5,3,381
4,2,288
8,3,843
4,2,712
9,3,306
1,1,209
1,1,241
8,5,600
8,3,614
2,2,247
4,2,834
2,1,103
3,3,443
4,1,102
7,3,582
8,4,39
3,2,244
8,5,328
1,1,422
7,3,230
8,5,300
4,3,474
3,2,290
5,3,159
8,4,34
1,1,497
8,3,492
6,3,489
8,4,784
5,2,355
9,5,735
1,2,764
8,2,342
9,5,872
9,5,161
8,4,475
4,2,803
2,3,246
8,4,716
4,2,340
7,3,526
9,5,918
7,3,854
3,2,900
8,5,429
9,5,775
10,5,849
2,2,852
9,5,473
9,4,457
5,2,689
3,1,720
6,2,566
6,2,577
8,5,80
6,3,596
9,5,878
9,5,307
7,2,635
9,4,423
9,5,703
9,5,969
9,5,765
2,1,255
9,4,408
6,1,297
2,1,607
5,4,988
9,5,231
3,1,573
2,1,454
8,4,251
9,4,22
1,1,349
2,3,395
8,5,199
9,5,893
7,3,575
8,3,120
7,4,344
2,1,967
5,4,21
9,5,447
4,2,15
8,3,826
7,3,501
4,2,44
1,1,974
1,1,536
9,4,786
3,2,229
8,4,116
5,3,667
3,1,943
8,4,372
8,4,65
8,5,456
8,4,576
3,1,35
2,1,32
8,4,812
3,2,617
1,1,470
7,1,357
2,1,285
10,5,62
5,3,955
4,2,802
8,4,527
4,3,377
9,5,417
8,3,675
6,2,560
4,2,762
5,3,931
8,5,412
4,3,455
9,5,467
6,3,4
5,4,978
2,1,822
9,4,445
4,3,830
3,1,122
1,1,894
8,3,393
8,4,565
2,1,124
9,4,462
9,5,745
4,2,579
4,2,599
9,5,638
7,3,104
7,3,11
8,4,5
6,2,641
2,1,217
8,5,945
1,1,630
9,4,989
9,5,167
3,1,532
9,5,135
2,2,260
8,5,329
10,5,721
4,2,742
8,4,375
1,1,225
8,4,939
5,2,13
4,1,358
8,3,938
9,5,263
2,1,657
8,3,598
7,3,394
9,5,216
3,1,665
6,3,790
1,1,141
4,2,772
2,1,779
5,4,364
6,2,499
4,2,450
2,1,864
8,4,356
10,5,258
9,5,312
6,3,204
3,2,268
2,1,476
7,4,220
2,1,523
4,2,79
9,5,788
5,1,55
3,2,737
8,4,982
6,3,658
3,1,966
7,3,807
9,4,212
8,4,109
9,5,631
9,5,168
6,3,705
9,5,264
1,1,884
3,3,178
2,2,466
3,2,322
5,2,132
6,3,200
2,1,424
4,2,954
2,1,683
9,4,733
5,3,677
5,2,846
5,2,758
7,4,936
5,3,706
8,4,164
9,5,877
9,5,47
2,1,137
4,2,483
3,2,728
6,3,554
7,3,819
9,5,818
2,2,563
7,4,923
2,2,409
9,4,754
3,2,184
8,4,293
8,3,760
5,3,909
6,3,747
3,2,891
7,3,434
4,1,766
1,1,935
2,1,514
5,3,937
8,4,7
9,5,165
2,1,465
10,5,947
8,4,318
8,5,83
3,2,360
1,1,157
7,3,277
9,5,63
3,1,186
5,2,321
4,2,634
6,3,147
8,3,105
3,2,718
5,2,488
5,2,917
3,2,504
7,4,20
2,1,942
2,2,155
4,1,520
2,1,752
1,1,627
4,2,972
5,4,797
9,4,897
2,1,127
1,1,444
3,2,629
9,5,134
8,4,736
9,5,686
6,3,921
2,2,66
3,1,73
9,5,194
10,5,868
2,1,871
9,4,262
9,5,311
4,2,336
3,2,61
3,1,637
6,3,1
2,1,458
5,2,143
9,4,530
2,2,366
1,3,814
4,2,223
8,4,338
7,4,2
3,2,215
8,4,446
10,5,373
7,3,950
8,2,550
5,2,542
9,4,315
9,5,502
7,3,892
1,1,117
8,4,278
4,2,901
1,1,136
4,2,508
6,4,480
3,1,145
3,2,87
8,4,163
3,2,368
8,4,574
8,5,388
9,5,291
4,2,486
8,5,93
9,4,592
9,5,528
9,4,913
8,4,645
8,4,354
9,5,531
8,3,916
5,3,195
8,4,984
5,3,281
4,2,861
9,4,438
8,5,646
8,4,181
2,1,270
8,4,227
3,2,453
2,1,392
8,4,37
6,3,205
1,1,232
2,1,193
6,3,801
4,2,484
2,1,723
9,5,149
4,2,339
3,2,604
9,5,995
5,2,81
7,5,748
9,4,690
6,2,386
2,1,647
8,4,651
4,2,620
1,1,449
3,3,798
7,3,88
4,2,129
4,2,875
9,4,346
2,2,403
9,5,648
8,3,198
6,3,688
6,2,363
1,1,367
4,2,759
8,5,110
9,4,930
8,5,979
10,5,253
5,3,500
4,1,549
3,5,511
3,1,907
2,1,426
3,1,920
3,1,41
8,3,873
8,4,547
2,1,304
10,5,259
7,3,933
1,2,767
2,1,558
6,4,210
5,2,89
4,1,959
9,5,615
6,4,331
3,2,369
2,1,325
3,1,156
2,1,999
2,2,399
1,1,9
3,2,284
9,5,534
8,4,787
7,3,235
9,5,118
2,1,831
2,2,944
6,3,739
7,4,267
,4,621
8,4,405
,4,433
8,4,371
,5,518
2,1,317
3,3,855
8,4,97
9,5,661
,2,320
,3,654
10,5,78
8,4,316
9,5,960
8,4,609
,2,608
9,5,53
1,1,895
8,4,562
6,2,876
9,5,503
4,3,86
3,1,587
,5,910
8,4,27
9,5,636
5,3,725
9,5,173
,2,319
,3,233
2,2,671
4,2,653
2,1,572
2,1,207
4,1,911
9,5,266
9,5,24
7,4,218
7,3,36
3,1,60
9,5,283
8,5,280
4,3,888
8,4,809
,2,50
,3,664
8,3,964
6,3,622
1,1,507
8,5,928
4,1,390
3,2,213
2,1,932
7,3,219
,2,189
7,3,100
2,1,673
8,4,57
7,3,302
7,2,898
4,2,847
9,5,487
8,3,570
6,3,313
8,4,404
4,2,591
8,3,729
2,1,49
8,5,697
6,4,919
9,5,821
6,3,188
4,2,540
9,5,85
,1,680
8,3,250
9,4,698
9,5,546
,2,485
7,3,639
3,2,8
10,5,482
8,4,295
1,1,551
10,5,245
4,2,602
2,1,516
4,2,724
4,3,451
9,5,816
7,3,746
,2,719
,4,780
,4,692
3,1,6
9,5,148
2,1,54
4,1,666
8,4,700
4,1,859
,4,782
10,5,828
6,2,785
10,5,95
8,5,727
1,1,983
3,1,925
8,3,732
3,2,125
5,1,962
5,3,505
2,1,298
7,3,29
9,5,695
9,4,811
8,4,411
9,4,590
3,1,624
9,5,578
,1,59
8,4,694
3,2,309
9,4,906
4,2,610
8,4,539
3,2,543
,3,294
,4,448
4,2,31
8,3,860
4,1,593
7,4,192
,3,652
9,4,452
8,4,415
2,2,996
9,4,691
9,4,58
6,3,51
4,2,555
7,4,714
9,5,17
2,1,707
6,3,880
,2,378
7,3,419
3,2,509
9,4,243
7,4,682
8,4,835
5,3,208
2,1,160
8,4,603
9,5,850
,2,242
8,3,439
3,1,211
,3,524
2,1,753
6,3,370
,2,968
,1,866
9,3,162
8,4,256
2,1,82
4,2,684
,2,265
3,2,228
4,1,106
8,5,151
2,1,544
5,2,805
2,2,402
,1,525
4,2,829
8,5,494
3,1,908
7,3,656
10,5,832
4,1,795
,1,442
8,5,751
7,2,493
9,4,257
8,4,463
5,3,513
3,1,310
8,5,398
3,2,613
8,4,389
9,4,912
8,4,92
10,5,870
10,5,113
2,1,625
8,3,414
8,4,789
4,3,583
8,4,461
4,1,158
3,1,885
6,3,681
8,3,696
7,2,548
9,5,91
,5,701
3,1,440
4,3,334
3,1,114
9,5,973
3,1,998
9,5,902
2,1,94
10,5,757
2,1,837
3,3,709
8,5,279
10,5,119
8,5,240
8,4,922
2,1,468
9,5,676
3,1,10
9,5,948
9,5,862
2,2,469
9,4,817
7,3,522
9,5,343
5,3,99
9,4,115
5,2,934
