openai_rating,true_rating,original_dataset_row_number
4,5,1342
5,5,1000
4,5,821
3,3,166
4,5,1390
1,1,70
5,5,1291
5,5,1273
5,5,1154
4,3,270
2,3,273
3,3,252
5,5,1220
4,5,847
4,5,1322
4,5,1400
3,3,268
4,5,1022
4,5,443
5,5,1066
4,3,237
4,5,703
5,5,825
5,5,1229
4,5,812
5,5,1160
2,2,88
5,5,1388
5,5,1137
4,5,446
5,5,1014
4,4,308
5,5,538
5,5,997
2,3,278
5,5,958
5,5,693
4,4,374
2,3,184
5,5,942
4,5,1177
2,1,41
1,1,35
4,5,582
1,1,29
4,4,360
5,5,883
1,1,11
4,4,307
5,5,490
5,5,555
5,5,974
5,5,1117
5,5,756
3,3,226
4,3,233
5,5,836
4,5,729
4,5,732
5,5,587
5,5,762
5,5,1061
3,3,171
5,5,1164
4,3,242
1,3,199
5,5,482
4,5,1183
5,5,610
4,5,1252
4,5,980
1,1,16
4,5,777
5,5,1244
4,4,357
5,5,1175
5,5,1362
5,5,963
3,4,381
4,4,418
5,5,1184
2,3,200
5,5,444
5,5,932
5,5,1356
5,5,863
5,5,543
1,1,53
5,5,894
5,5,627
4,4,409
4,5,877
2,3,221
2,1,61
5,5,512
5,5,1403
5,5,1369
3,3,192
4,4,411
4,5,1215
5,5,647
3,3,181
5,5,1313
5,5,626
5,5,1277
5,5,733
1,1,65
5,5,583
5,5,598
5,5,544
3,3,250
4,3,216
1,1,6
5,5,912
4,5,450
4,4,319
5,5,724
2,2,101
5,5,522
3,2,132
1,2,83
1,1,43
4,5,1031
5,5,851
5,5,1070
4,5,1026
2,2,94
5,5,1170
5,5,1178
4,5,1412
4,5,816
2,2,134
5,5,1005
3,4,290
2,3,244
1,2,72
3,3,201
5,4,389
4,5,1186
2,2,129
4,5,1335
2,4,387
5,5,1331
4,5,749
4,5,1195
5,5,432
5,5,1212
5,5,895
5,5,1141
5,5,1041
5,5,1076
4,5,842
4,5,1341
3,4,306
1,1,0
4,5,1213
4,5,1156
5,5,1032
2,3,207
3,3,154
5,5,696
5,5,787
4,4,285
3,5,1080
5,5,648
3,2,110
2,2,93
4,4,303
3,3,198
4,5,591
5,5,746
4,5,600
4,4,363
5,5,1241
4,4,370
5,5,1036
5,5,427
1,1,68
5,5,1339
5,5,595
4,4,401
4,5,781
4,4,339
4,5,604
5,5,1320
4,5,671
5,5,487
4,5,1107
4,5,576
4,5,608
5,5,1260
5,4,367
5,5,1168
5,5,965
5,5,493
2,2,107
5,5,551
5,5,633
4,2,77
5,5,1043
4,5,728
3,3,191
5,5,503
4,4,333
5,5,1059
5,5,1278
5,5,879
4,5,759
5,5,528
3,3,229
5,5,569
5,5,1010
4,4,294
5,5,813
5,5,706
1,1,22
5,4,396
4,5,943
5,5,615
5,5,638
5,5,558
5,5,661
4,4,309
5,5,869
4,5,692
4,5,1340
5,5,1360
5,4,350
2,3,227
5,5,886
5,4,311
4,5,1255
5,5,1052
4,4,397
5,5,790
5,5,630
5,5,625
5,5,1282
4,5,1115
4,5,719
5,5,893
4,5,601
5,5,742
4,5,1042
5,5,849
3,3,209
5,5,930
1,1,63
5,5,773
5,5,1185
4,5,1190
3,4,327
5,5,556
2,2,111
4,3,257
4,5,725
1,1,55
4,5,1143
5,5,872
5,5,673
4,5,553
5,5,1182
5,5,1371
5,5,1113
5,5,563
4,3,228
5,5,481
2,1,17
4,5,1049
4,4,318
4,5,682
4,5,536
4,4,335
1,1,36
5,5,876
5,5,624
4,4,356
5,5,660
1,1,21
4,5,936
4,5,1333
3,3,173
4,4,322
4,5,1201
2,1,39
5,5,447
5,5,1279
5,5,1126
5,5,794
5,5,960
5,5,554
4,5,979
5,5,1408
5,5,590
4,5,1346
2,4,364
5,5,1128
5,5,1095
5,5,1274
5,5,1226
5,5,754
5,4,383
5,5,1246
5,5,666
4,4,304
4,5,822
4,5,549
4,4,416
4,5,691
5,5,891
2,2,137
5,5,712
4,3,152
4,5,1206
4,5,709
5,5,1091
4,4,312
3,3,235
5,5,1295
4,4,344
4,5,884
3,3,261
4,5,1263
4,5,1417
4,4,310
2,2,81
1,1,32
2,1,19
4,5,577
5,5,1353
2,2,136
5,5,664
5,5,564
5,5,1083
2,2,71
5,5,568
4,3,215
5,5,807
5,5,449
4,5,766
4,5,1222
5,3,246
5,5,779
4,5,802
4,5,1218
4,5,969
3,3,211
5,5,1395
5,5,1258
4,4,425
5,5,535
4,5,683
4,4,341
5,5,458
4,5,1376
4,5,1402
4,4,340
5,5,1019
4,5,940
5,5,996
5,5,1380
4,5,619
5,5,906
5,5,1344
5,5,1240
4,3,197
5,5,1358
4,5,1027
5,5,1288
5,5,947
2,2,76
5,5,896
2,2,120
4,5,562
5,5,743
5,5,550
5,5,674
5,5,1096
4,5,1294
5,5,1009
5,5,1134
4,5,497
4,5,1165
5,5,1072
5,5,1413
1,2,86
5,5,1235
4,5,1359
4,5,833
4,4,380
4,5,944
4,5,888
5,5,1001
5,5,814
5,5,476
5,5,434
5,5,584
5,5,885
4,5,1187
5,5,579
2,2,95
4,4,354
4,5,1221
5,5,1270
5,5,516
2,3,147
3,3,266
2,1,24
4,5,783
5,5,1132
2,2,89
4,5,967
4,5,1102
4,5,1157
4,5,1097
5,5,1312
5,5,941
5,5,1193
3,4,292
5,5,1139
5,5,523
5,5,1058
5,5,1086
4,5,1315
4,4,406
5,5,1414
3,4,300
4,5,1038
1,1,57
5,5,1120
3,4,297
5,5,451
5,5,1327
5,5,1013
2,3,169
4,5,1261
5,5,479
3,3,196
1,1,37
5,5,1354
4,5,985
2,2,103
4,5,1045
2,2,104
,5,1272
5,5,981
,5,922
,5,901
,5,694
,4,343
,1,28
5,5,621
,4,365
,5,1232
,2,126
,3,168
,5,456
5,5,1266
,5,1242
,5,1363
,5,770
,5,1351
,5,1305
,5,808
,5,1349
,5,1233
,1,15
,5,1347
,5,738
,1,51
,4,299
,5,1285
,3,178
,3,240
,3,183
,5,1158
,3,282
,5,1023
,5,524
,5,785
,5,971
,5,1247
,5,620
,5,1259
,2,124
,5,964
,4,417
,5,1085
,4,332
,5,472
,5,866
,2,139
,5,440
,4,395
,3,258
,5,665
,5,1239
,5,1257
,5,757
,5,592
,5,1361
,5,760
4,4,313
,2,125
4,5,1350
3,3,220
,5,857
,1,9
2,2,90
,2,73
,5,675
,3,271
,2,97
,5,826
,5,1153
,5,1357
,5,722
,5,530
,3,188
,3,241
,5,1208
,3,174
,5,848
,5,726
5,4,390
2,3,256
,5,461
1,1,20
,5,491
,5,853
,5,521
,4,375
,1,62
,5,1209
,1,2
,3,275
,3,204
,5,1105
,3,149
5,5,907
,5,761
,5,1037
,4,328
,5,820
,5,632
,5,1269
,5,776
,5,477
,3,263
,5,685
,5,913
,5,1047
,5,1148
,5,643
,5,529
,5,1297
,5,1394
,5,612
,1,66
,5,919
,5,704
,3,231
,5,586
,5,1227
,5,1286
,5,716
,5,618
,5,509
,3,182
,5,1401
,5,767
,5,920
,4,362
,5,1133
,5,1234
,3,223
,5,739
,5,929
,4,386
1,1,48
,5,676
,4,415
,2,140
,5,517
,3,161
,5,596
,5,1078
,3,255
,5,1250
,5,806
,5,1302
,5,1163
,1,7
,5,994
,2,109
,5,588
5,5,438
,4,345
,5,1018
,5,708
,5,580
,5,617
4,5,1075
,5,1110
,5,1216
,5,956
,3,283
,5,1317
,5,1114
,5,831
,5,1138
4,5,1033
,2,102
,5,593
,5,1382
,5,953
,3,148
,5,689
,3,164
,5,1082
,5,1007
,4,382
,4,289
4,5,713
5,5,502
,3,186
,3,224
,3,210
,5,911
,5,653
5,5,1125
4,5,1054
2,1,60
,5,652
4,5,1391
,5,1406
,3,190
,5,1151
,5,518
,5,1348
,5,513
,5,1104
,5,710
,5,489
,5,628
,5,565
,4,331
5,5,637
,5,1044
,1,67
,3,195
,5,452
,2,80
,5,868
,3,143
,5,1253
,5,1100
,5,603
,3,272
,3,142
,5,1077
,5,1074
,5,537
,5,786
,5,688
,5,915
,5,475
,2,91
,5,1180
,5,1228
4,5,715
,5,677
,5,435
,4,323
,5,908
,4,284
,3,274
,5,717
,3,234
,5,1021
,5,952
,5,1248
,5,972
,3,279
,5,855
,5,1057
,5,1293
,3,248
,5,1131
4,5,1219
,5,1135
,1,64
,3,267
,5,815
,5,597
,1,13
,5,546
,5,1024
,4,329
,5,455
,5,486
,5,1284
,5,1217
,5,772
,5,1230
,5,1404
,3,236
,5,1004
,1,8
,5,607
,5,811
,5,1205
,1,3
,5,1189
,5,1419
,5,1167
,3,212
,5,1192
,3,230
,5,1368
,5,1142
,5,817
,5,1002
5,5,721
,5,1106
,2,74
,5,1035
,5,835
,5,792
4,5,1396
,5,1311
4,5,905
,4,403
5,5,927
,5,1068
5,5,1308
,5,574
,5,684
4,3,243
,5,1334
,5,506
4,5,1048
4,4,295
,5,946
,4,405
,5,1169
,5,865
,5,616
4,5,699
,5,788
,5,469
,3,156
,5,736
,5,1275
,1,49
,5,436
,5,1194
,5,1111
,5,678
5,5,511
,3,163
,5,755
,4,385
4,5,948
,5,973
,5,1329
,5,970
,5,1136
,3,145
,4,422
,5,1176
,3,269
,5,1301
,5,1375
,5,466
,5,1324
,3,177
,2,79
,4,337
,5,430
,5,925
,4,399
,5,1179
,5,804
,5,460
,5,1409
,5,1098
,5,730
,5,718
,5,1210
,5,1051
,2,98
,3,239
,4,302
,5,609
,5,539
,3,245
,5,1378
,5,993
,5,1314
,5,572
,5,629
,5,1053
,1,54
,5,1173
,5,934
,1,52
,2,123
,5,525
,5,445
,3,172
,5,501
,3,206
,5,957
,1,23
,5,829
,2,117
,5,471
,5,1323
,5,1020
,5,534
,5,763
,5,1326
,5,1150
,5,623
,5,1064
,5,697
,5,950
,5,935
,5,1254
,5,654
,5,527
5,5,613
4,5,1062
,4,419
,5,570
4,3,176
,5,548
,5,1123
5,5,484
5,5,656
,3,187
,1,46
,2,108
,2,131
,5,727
,1,40
,5,1127
,5,1237
,5,1399
5,5,1196
5,5,949
,5,854
,5,1122
4,5,928
5,5,714
,5,1214
,5,1030
,3,179
,3,185
,5,882
,5,655
,5,1343
,5,780
5,5,1071
,5,924
