Review,Rating
"rude staff talk spanish hospitality hotel centrally located plaza santa ana considered center movida madrid, close including great historic aunthentic bars restaurants, great location stay.however hotel staff four-star hotel worse encountered spain, bars neighborhood usually let stay pretty late seldom tell leave late, not case lobby bar reina victoria hotel not staff members asked leave started turning lights, having quiet conversation client, four-star hotel, really miss old reina victoria old bar manolete.do not waste money, plenty expensive places treat better example hotel miau plaza,  ",1
"star stayed punta cana beautiful place vacation, family friends stayed 3 star section fiesta, guess shouldnt expected nothign special 3 star, food- not alot choose, practically starved time, room- not bad room bathroom horrible, smelled bad everythign alot, bathtub rusting patches covering holes bathtub, cleaning room nice extra mile leave nice tip everyday fresh flowers room everyday, beach- beautiful, beach gardens maintained water water plants smells bad, ohh watch falling coconuts, major difference 3 star palladium, anyways nice pleasing stay enjoyed, looking forward coming,  ",3
"mixed results wife stayed bambu 1/13/05 1/20/05, great time virus caught, sick sunday following tuesday.beach beautiful spectacular say, topless ladies nothing line, lots beach chairs days one.pool beach nice sit pool did good time.food ok all-inclusive, lots food wanted eat.bars lots fun lots booze, did best worth, tips way, way johnnie walker red scotch drinkers.rooms stayed 108 close beach, clean no problems.will consulate dr. b-4 going avoid illness, drank no tap water got sick, say 50 people spoke gotten ill,  ",4
"luxury experience stayed grand hyatt weekend trip seattle loved, close walking distance market downtown shopping, hotel staff helpful room incredible, bathroom huge large tub separate walk shower, beds comfortable views seattle wonderful,  ",5
"not bad reviews husband just returned breezes, travelled world, slighlty averaage resort problems, took elses suggestion website requested building 7 booked trip, far away stages/restaurants not disturbed noise music neighboring hotel 11. arrived 11am fully expecting not able check right away custom hotels hour bathing suits carry readily accessible, sit lobby check grounds hours travellers choice, knew room number walked times knew exactly ready, went desk told ready phone room 10 minutes maybe 2pm, room nice no issues leaks yes hot water comes goes does carribean resorts, sheets need tossed replaced no pillow issues, ask clean towels day does strange issue lack fresh towels minor inconvienence, overall room nice decent size bathroom nice terrace view garden ocean, grounds gorgeous meticulously kept, say best dinner night specialty restaurants picky eater, n't forget international resort lot foods prepared europeans mind, charm getting away, n't understand people write canadians germans want vacation americans stay america, breakfast fine lunch average dinner average, deserts awesome, people general friendlier, feel doing favor getting drink smile attempt spanish help, remember foreign country not speaks english fluently, nor country, make effort learn words, beach pool gorgeous need early 8am save hut beach, overall not simply n't like place twice, certainly grand lido jamaica nicer place price happy not expect ritz,  ",3
"fabulous, family went vacation splendid time, grounds stunning kept, rooms spotlessly clean beds glorious, no clock radio room having no music audiophile just bit letdown, reason really need know time activities dinner reservations little hard arrive, food best just okay buffet got tiring awhile food restaurants offered n't good advertised did n't ca n't speak, drinks flowed aplenty extremely watered guess good thing no needs lushes stumbling, staff pleasant fun hilarious not mention extremely hard workers, poolside activities great n't miss, pointer choose step aerobics n't bare feet resulted blisters, not stress beautiful hotel highly recommend value,  ",4
"big disappointment just come 3 night stay end 2006. booked hotel reading reviews, maybe change managment experience nightmare.we room 711 room like cupboard, way bed tighlty sqeezed, bathroom bigger main room lovely watch spray screen bit bigger did bath, small tv wall mounted flatscreen working, service staff awful didnt listen respond asked, took 8 hours reminders extra clothes hangers, staff poor grasp english things difficult, whilst appreciate country international hotel expect certain level understanding english, did make formal complaint noticed things did improve slightly attitude staff particularly breakfast service, awful mornings, kept waiting seating food running unhelpful good thing thought great location right metro near main places walk comfortably.the choice consider places,  ",1
"great little resort just came week vacation punta cana princess, admit somewhat disappointed given thought booked bavaro princess, arrival airport fact hotel punta cana not bavaro, arrived hotel reaction punta cana smaller resorts punta cana resorts visited bavaro princess flamingo barcelo beach bahia principe, say really enjoyed hotel, small cosy does not walk beach reception, fact access princess sister hotels caribe club tropical provides opportunity larger resorts.rooms spacious lots storage space travel light necessary amenities fridge coffee maker iron ironing board hair dryer, negative room little smelly, room block 5000 second floor, offered great view pool ocean, recommend asking room block 4000 5000 second floor flood provide best view ocean.food fine, buffet ok breakfast lunch admit best food cook site omelettes pasta, food tends cold warm, resort offers access 8 restaurants easy reserve want, preferred mama mia located caribe club complex.service exceptionnal, quick service smiles, bar service brought directly beach, no need lounge chair, resort spa beautiful visited dominican republic, better bahia principe great massages reasonable price 60 great time punta cana princess,  ",4
"disappointed room n't clean, coffee maker worked sporadically, n't access safe night, course 1 week roof overhangs fell hotel unit gift shop lobby, communication difficult times language barrier, timeshare sales staff aggressive persistent, shoved throat time entered main buffet restaurant.the bank machines onsite worked, wait half day beach towels, not beach chairs, beach mats dirty torn, plus food good restaurant staff really pleasant hard-working, compared caribbean hotels stayed substandard,  ",2
"watch cancellation guidelines hotel booked night hotel 21st feb travel andorra friday, unforseen circumstances airline cancelled flight barcelona, alternative flights fly girona, sense travel andorra girona barcelona, contacted hotels.com let know situation weeks stay hotel asking cancel hotel, cancel hotel no refund monies, shocking hotel policy, understand cancelling week cancel weeks not offered refund staggering, look use hotel watching future, warned,  ",1
"avoid radisson waikiki prince kuhio renovations 3 5 elevators high rise hotel service october 2004. average 10 minute wait elevator, rooms bathrooms small worn quite dirty especially beds, rooms noisy hall adjoining room street noise, hotel fronts kuhio heavily trafficked noisy hard turn,  ",1
"good place stay night drove san diego giants game, did not want spend lot money just night, did research gave place chance.room small clean basics, touch past shower massager attachment haha, tv adequate, important thing room clean.grounds kept landscaped.lobby gives false impression nice room going, really nice queen anne chairs fireplace, room ok mentioned though.breakfast toast cereal juice, does not sound like fresh jelly butter, juice good orange apple not watered, free fact breakfast area nice relaxing place sit ok nothing complain free, yes hotels way better breakfasts night stay happy.pool internet gym did not use looked clean adequate use.overall desk extremely helpful helped best way giants stadium train, awesome, desk lady polite, recommend night stay couple days, vacation n't know price paid 55,  ",3
"fab holiday great hotel just returned 2 weeks hotel fab holiday.we arrived evening check quick.the hotel situated best beach beach cleaned morning sunbeds available day want hut shade recommended need beach 7.00 towels bed.the beach fab white sand clear blue water water quite rough great boogie boards, pool large nice pool bar ask fernando special nice, pool cleaned morning day walking round checking okay, gardens cleaned day kept beautful.doors walls corridors freshly painted lamps outside replaced.the hotel clean room cleaned day fridge stocked water soft drinks, entertainment day try hard involved, food good tried 4 al-a-carte resturants japaneese favourite, ate morning evenings alcazar food good quality good variety, recommend beachside barbacue makes great chicken pork chops, travelled husband 10 year old son none got sick, shop site limited sold expensive especially beach toys balls, recommend you.the evening entertainment 1 hour 9.30 10.30 evenings bit quiet, overall agood time stay hotel,  ",5
"itchy nice hotel great people working, loved boat ride views, island nice needs regular detailing, water shoes necessity enjoying water, nothing snorkeling got ta boat trip, not white sandy caribbean sea type beach okay, storms headed overhead el yunque right little island days local boaters park splash weekends.but people cell phones places trying relaxing time corporate groups, constant loud salsa beat minute taxing day day, really horn players puerto rico, otello italian great undercooked pasta ruined meal, no dentures, al dente pink cement sauce wtih peas pea worth poker chip, smoky casino great large tv screens basketball, great coffee shop internet rentals hour not, leave hour people jump walls free leftover time, restaurant reviews blossoms just ok. stingray good, watch dollar perrier spring water otello, el caribe bad dinner okay small breakfast, las brisas breakfast buffet great worth, high priced, save great petite sandwiches coffee shop tram, ventured property dinner ocean view restaurant withinn walking distance marina hotel, nice priced right meal shady characters cars abounded dark secluded walk little circle beach park bio bay operators, great hotel, great golf not beginners, great hot tub hotter overlooking ocean, oh forgot kicker left tan chestful red bites broke home morning days checkout daiy grind, mrs. sez bed bug bites, not sure, believe, room old carpet headboards beds large dried blood splatter outside topcover sheet bed night, comforter old pilled, hanging art wall junior high art class, nice vacation,  ",2
"great motor inn, stayed 3 nights beginning 16 night tour west, booked property using advice fellow trip advisor travellers, motel exceeded expectations.we rented car airport able park 3 days no problem free car park beneath hotel, went early evening drive marina able space return.i requested 2 quiet rooms party 5. 2 bedroom suite situated little view quiet, king room situated right elevator ice machine busy road view, guess win lose, asked told rooms if/when available decided stay liked room.our floor think 2nd floor looked like recently refurbed, rooms clean spacious large flat screen tv, little balcony not time use, coffee maker ironing board hairdryer.it 5 10 minute walk bay little longer reach pier 39. highly recommend pats cafe breakfast just road slightly left, lots italian restaurants nearby, cable car just 5 minutes away.all definately recommend place especially rates low, great value,  ",4
"rooms bad.beach eating good rooms old lots problems.hotel people not fix problems.the receptionists not helpfull.but beach bars casino good.the restaurants good fresh food good staff.place safe grounds green lovely,  ",2
"excellent hotel heart city, hotel easily 5 star facilities fantastic rooms beautifully furnished equipped latest technology, bed comfortable slept, continental breakfast room really good value money good choice, used spa indoor pool evenings excellent.the lounge bar areas relaxing comfortable perfect night-cap evening.our let restaurant onour night dinner food poor dining room cold did not atmosphere rest beautiful hotel.over highly reccomend hotel1898 deffinately make return visit,  ",5
"check mercure checkpoint charlie wo n't disappointed, staff friendly extremely helpful professional courteous times.the hotel joy, great location beautiful clean comfortable rooms, quite easily fit despite small reception area allowed make use daily nightly meeting point virtually ended dossing staggered nights, waiter service bar set life.the hotel great location certainly walking distance main sights desperate brandenburg gate reichstag, not forgetting checkpoint charlie itself.the u-bahn minutes away no problems getting, easily way main stations took train ravensbruck sachsenhausen, not joing day spent lovely day lake wannsee.we friends staff looked needs, advised nightlife restaurants keen try local cuisine bread dripping starter n't quite mum gave sunday tea good, berlin equivalent kebab shop post-drinking-binge eatery comfort mmmm bratwurst.go berlin stay hotel wo n't regret, trip better memorable thanks team mercure checkpoint charlie thanks guys x,  ",5
"dissapointed tanned, arrived week secrets re-routed mexico becuase hurrican wilma, expecting 5-6 star resort somewhat dissapointed, tropical climate no ripe overabundance fruit, food mildly attractive restaurants began taste, service dining areas remarkably slow took getting used, snacks bar foods horrible, soft serve ice cream cone stations great beach relaxing expecting calm serene waters snorkel float day good luck, waters choppy great body surfing not good windsurfing, lifeguards let swim way really wanted becuase constant undertows riptides truly water stick pools, pools nice overall staff incredible, friendly tell appreicative staying spending money feeding families, welcoming warm people.we topless bathers not discouraged beach day think set quite trend, ladies tops freeing,  ",2
"o.k, hotel area not great hotel located busy intersection train station, 10 minute walk civilization, boarded desserted, not familiar city not comfortable walking hotel attractions, definitly far town, rooms o.k. use updating,  ",3
"nice place nice place got city scape room, wish brought bathing suits pool nice, did not spend time, time cheaper room did sleep, ordered 2 drinks bar brought, charge 35 2 regular drinks- yikes ordered bar, carried charged lots, breakfast nice free,  ",4
"beautiful resort-poor food just returned ocean blue beach resort mixed review, stayed nights chilren ages 7/9, enjoyed pool beach, pools large swim freely bumping people, pool missing lot tiles questionable black things floating mold, beach clean beautiful water, booked snorkling excursion resort not wonderful, like lot money hour snorkling excursion plus 30 minute boat ride way 136/4 people did lot fish kids enjoyed, rooms clean service good, rooms little beaten generally comfortable clean.our major complaint food, buffet not good, got sick food not good, ate mexican restaurant fair n't order fish ugh, italian poor route 66 average best, mike coffee excellent drinks good, all-inclusive resort not sure expectations just high, did not gain weight, low point trip dealing delta, return flight cancelled delta passengers disgusting resort called carbela..do not, passengers got sick food inedible rooms filthy cockroaches ants spiders mold dirty linens list goes thoroughly disappointed delta stranding sucha hell-hole, carabella received star rating not remotely true, ocean blue resort earned stars does not belong class carabela, food not major importance ocean blue fantastic choice, carabela condemned,  ",4
