Review,Rating
"rundown unfriendly overpriced hotel not recommend, overpriced rooms rundown dusty, worst breakfast far tables dishes flatware guests weekend morning people like breakfast 9-9.30am wait line quite time table, service personnell hand clearly overwhelmed, dishes quickly rinsed dirty ones hand washbowl wiped damp towel, felt like youth hostel hefty price tag,  ",1
"good thing drunk, arrived check-in hotel misdirected hotel staff told double park hotel check, hotel told park car garage conviently blocks away meaning going carry luggage uphill hotel, not cool, pack lite, watch step elevator uneven landings steep stair cases, felt like mouse cheese maze going hallway locate room, room size small rearrange furniture luggage ground sleep bed, room far spotless including bloody spot shower curtain silver-dollar size burn mark blankets, smell hotel strong meldew incense wanted open windows no screens windows not good children, looking nice romantic hotel plain nice hotel not hotel, fyi no ice vending machine available,  ",1
"terrible word, hotel great location centre florence walking distance shops attractions, booked expedia pictures looked good backed good reviews experience different, public areas nice room small looked like 1920, n't mean nice way need refurb, paintwork walls chipped furniture old ca n't bathroom awful word, day left hotel 1 afternoon return room not having serviced, asked reception towels room not serviced thats got did n't old ones away, breakfast good selection continental style room small people squashed, n't recommend hotel choose florence better,  ",1
"like smell mildew love place dirty lobby internet pictures make place look modern classy, wrong, hated stay here.my floor water damage dirty, room service trays hallway picked entire 4 days stayed, room peeling wall paper stained carpet cheap beds sleep, not kidding worst hotel stayed, staff ok not accomodating, n't stay,  ",1
"disaster place horrible, waited atleast 3hrs rooms, food good people nice rooms far away air conditioning not working properly, second day electricity went happened resort dominican republic.the pool half appears virtual tour beach algae,  ",1
"ew, yuck, zero star review option, recommended clift friend lives sf excited saw trendy photos web, friendly service checked went downhill, bathroom smaller public restroom stalls shower did weird scalding/freezing thing, no air vent bathroom mirrors window room fogged condensation room feel wet smell moldy, tried open window help maintenance guy actually came wall, shut lock just place, stains carpet weirdly cd nightstand wet yuck, picked check out.i read reviews tvs tiny hey sf vacation thing wanted watch tv, breaking point staff, service apparently not word familiar, snobby rude reception say slow, incredibly pretentious servers redwood room hard believe 4 star hotel,  ",1
"extremely rude, beware, boyfriend stayed hotel novemeber, experience horrible, not hard person not like complain petty things, want warn hotel extremely rude desk help junky not recommend staying, rooms small hotel terrible smell, charged mini bar did not use called reimbursed kept transferring voice mails, heard finally e-mailed sales dept, took month finally reimbursed, save headache different hotel,  ",1
"absolutly hated, booked 3 person room 4 nights, room 2 cups 2 plates 2 towels, chocolates paid delivered, checkin quoted 220 night including breakfast, checkout charged 230 night pls 19.00 breakfast day, managment firm said wrong eventhough wrtiting overcharged 310.00, rooms dated lift working wait long time time, noisy function room til late rooms not sound proof, air not cold nor hot just blew air, no air port shuttle weekend n't staff, poor quality, recommend not stay there.wayne,  ",1
"overall not recommend hotel young american boyfriend stayed pcp 1/26-1/30, got hotel asked upgrade vip, person dest hardly spoke english, beg vip items cigars rum robes free massage dinner internet motorized watersports did not recieve vouchers 3rd day attitude add, got room regular 2- double bed room not vip ased changed told overbooked change day, changed 1pm day vip room unkept appeared dirtier, staying ground floor sliding door broken, immediately checked doors read review 14 people robbed sliding door broken, called room changed said send fix door, went original room 3pm time wasted day just situated, waiters/ waitressess/ bartenders/ maids nice desk unhelpful especially problem, food terrible sick 3 days, charge 15 dollars immodium suggest bringing, need money want change american dollars mac machines peso fron desk wont tell town airport change not true, casino change, jipped motorized water sports said windy, going away just relax place nice, say beautiful beaches pool clean, n't bother upgrading vip didnt use vouchers, prepared pay, people expect tipped bring plenty, overall place good families, resort turns total ghosttown night, nothing, open alot read reviews did n't want spoil vacation right no entertainment food terrible desk does not help problems complain ignore attitude, spread bring walking shoes let know fiasco vip like said desk b/f lost vip bracelet went new woman counter told cost replace new bracelet plus pay vip, did not room man dest told vip free charge problems rooms not receiving vouchers, argued 20 minutes saying no gets free asked downgrade said charge 60 resturaunt ate bar went drink charge, threatened appauled, threatened resort no matter problem, completely unnacceptable behavior want let know type service expect, questions/ comments welcome e-mail, resort suggest not bother wasting time, booked trip just try make, hopefully wont experience,  ",1
"impresion desk worst november 8 2008 arrived condado plaza 6:15pm, friend began check-in process niece soprano needed stay quiet place night, friend introduced desk person assisting guests moment, gentleman desk started usual check-in procedure, finished process charged friend credit card surprinsingly told room not ready check-in time 4:00pm, surprise gentleman desk not provide alternatives moment desk lady listening conversation, friend demanded talk desk manager gentleman disappeared desk, manager person assisted friend upgraded room junior suite, say local professionals usually use certain hotels puerto rico business partners comes states.we noted comes service local tourists condado plaza rule treating, kind gentle-cynical-roughness perception does not contribute pleasant stay, condado plaza improve lack proactiveness desk personnel cause incidents like, none desk persons said not having room ready nor provided alternatives, just like inactive bodies occupying tridimensional space, like recommend condado plaza radically change anti-local tourism policy, not good recession days.the hotel beatifully renewed, beauty not change way felt incident.from not recommend hotel business partners, not want business partners incorrect impression puerto rico just staying condado plaza,  ",1
